ds:identifier,ds:title,ds:description,ds:keyword,ds:modified,ds:contactPoint,ds:mbox,ds:accessLevel,ds:accessLevelComment,ds:temporal,ds:spatial,ds:dataDictionary,ds:accrualPeriodicity,rs:title,rs:description,rs:downloadURL,rs:mediaType,rs:byteSize,rs:temporal
POP,Proyectos Productivos de la población rural,"Es un programa que apoya proyectos productivos, sustentables económica y ambientalmente, de la población rural cuyos ingresos están por debajo de la línea de bienestar, mediante la incorporación y desarrollo de capacidades productivas y técnicas.",Proyectos Productivos,2014-06-02,Atención Ciudadana,demandasocial@sedesol.gob.mx,público,El nivel de agrupamiento es por proyecto productivo,2014-01-01/2014-06-30,nacional,http://datos.sedesol.gob.mx/proyectosproductivos/proyectosproductivosdiccionario.xlsx,anual,,,,,,
POP,,,,,,,,,,,,,POP 2014 Enero Junio,Proyectos productivos otorgados en el ejercicio 2014,http://datos.sedesol.gob.mx/proyectosproductivos/proyectosproductivos.csv,csv,20480,2014
ESI,Estancia infantil afiliada a la Red,"Es un espacio dedicado al cuidado y atención infantil operado por una persona que funge como responsable, esta persona se encuentra capacitada por el DIF Nacional y la Sedesol. Cada estancia infantil afiliada a la Red cuenta con asistentes de acuerdo al número de niñas y niños que se atienden. Éstas se encuentran abiertas al público en general pero principalmente a la población beneficiaria de este Programa.",Estancias Infantiles,2014-06-02,Atención Ciudadana,demandasocial@sedesol.gob.mx,público,El nivel de agrupamiento es por estancias infantil,2014-01-01/2014-06-30,nacional,http://datos.sedesol.gob.mx/estanciasinfantiles/estanciasinfantilesdiccionario.xlsx,bimestral,,,,,,
ESI,,,,,,,,,,,,,ESI 2014 Enero Junio,Estancias Infantiles en el ejercicio 2014,http://datos.sedesol.gob.mx/estanciasinfantiles/estanciasinfantiles.csv,csv,20480,2014
PROSPERA,"PROSPERA, Programa de Inclusión Social","Información cuarto bimestre de 2014, Padrón de familias beneficiarias y apoyos emitidos",Apoyos emitidos ,2014-06-27,Dirección de Sistema de Información  DGPL,"armando.jeronimo@prospera.gob.mx, diana.meza@prospera.gob.mx",público,"El nivel identificación, por beneficiario",2014-05-01/2014-06-30,nacional,http://www.prospera.gob.mx/php/padrones/fams_csv/1/Diccionario.zip,bimestral,,,,,,
PROSPERA,,,,,,,,,,,,,AGUASCALIENTES,"Familias beneficiarias del Programa Prospera en el estado de  AGUASCALIENTES, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/01_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,BAJA CALIFORNIA,"Familias beneficiarias del Programa Prospera en el estado de  BAJA CALIFORNIA, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/02_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,BAJA CALIFORNIA SUR,"Familias beneficiarias del Programa Prospera en el estado de  BAJA CALIFORNIA SUR, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/03_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,CAMPECHE,"Familias beneficiarias del Programa Prospera en el estado de  CAMPECHE, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/04_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,COAHUILA,"Familias beneficiarias del Programa Prospera en el estado de  COAHUILA, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/05_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,COLIMA,"Familias beneficiarias del Programa Prospera en el estado de  COLIMA, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/06_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,CHIAPAS,"Familias beneficiarias del Programa Prospera en el estado de  CHIAPAS, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/07_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,CHIHUAHUA,"Familias beneficiarias del Programa Prospera en el estado de  CHIHUAHUA, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/08_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,DISTRITO FEDERAL,"Familias beneficiarias del Programa Prospera en el estado de  DISTRITO FEDERAL, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/09_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,DURANGO,"Familias beneficiarias del Programa Prospera en el estado de  DURANGO, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/10_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,GUANAJUATO,"Familias beneficiarias del Programa Prospera en el estado de  GUANAJUATO, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/11_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,GUERRERO,"Familias beneficiarias del Programa Prospera en el estado de  GUERRERO, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/12_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,HIDALGO,"Familias beneficiarias del Programa Prospera en el estado de  HIDALGO, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/13_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,JALISCO,"Familias beneficiarias del Programa Prospera en el estado de  JALISCO, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/14_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,MEXICO,"Familias beneficiarias del Programa Prospera en el estado de  MEXICO, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/15_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,MICHOACAN,"Familias beneficiarias del Programa Prospera en el estado de  MICHOACAN, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/16_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,MORELOS,"Familias beneficiarias del Programa Prospera en el estado de  MORELOS, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/17_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,NAYARIT,"Familias beneficiarias del Programa Prospera en el estado de  NAYARIT, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/18_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,NUEVO LEON,"Familias beneficiarias del Programa Prospera en el estado de  NUEVO LEON, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/19_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,OAXACA,"Familias beneficiarias del Programa Prospera en el estado de  OAXACA, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/20_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,PUEBLA,"Familias beneficiarias del Programa Prospera en el estado de  PUEBLA, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/21_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,QUERETARO,"Familias beneficiarias del Programa Prospera en el estado de  QUERETARO, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/22_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,QUINTANA ROO,"Familias beneficiarias del Programa Prospera en el estado de  QUINTANA ROO, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/23_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,SAN LUIS POTOSI,"Familias beneficiarias del Programa Prospera en el estado de  SAN LUIS POTOSI, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/24_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,SINALOA,"Familias beneficiarias del Programa Prospera en el estado de  SINALOA, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/25_S072_2014_5.rar,rar,,2014
PROSPERA,,,,,,,,,,,,,SONORA,"Familias beneficiarias del Programa Prospera en el estado de  SONORA, en el 4to. bimestre 2014",https://www.prospera.gob.mx/Portal/php/padrones/pad_fams_prospera_/26_S072_2014_5.rar,rar,,2014
